College,Program name,Program name_link,Credential awarded,Duration,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams
george brown college,Honours Bachelor of Business Administration (Business Analytics) (B303),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-business-administration-program-business-analytics-b303?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,International Business Management (Postgraduate) (B411),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/international-business-management-program-postgraduate-b411?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Project Management (Postgraduate) (B415),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/project-management-program-postgraduate-b415?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Supply Chain Management (Postgraduate) (B429),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/supply-chain-management-program-postgraduate-b429?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Business Administration – Marketing (B108),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-marketing-program-b108?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business Administration – Marketing (with work experience) (B158),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-administration-marketing-program-with-work-experience-b158?year=2023,Ontario College Advanced Diploma,,6.5,125,60,70,176
george brown college,Business – Marketing (B120),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/business-marketing-program-b120?year=2023,Ontario College Diploma,,6,105,54,60,169
george brown college,Honours Bachelor of Commerce (Digital Marketing) (B312),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-commerce-digital-marketing-program-b312?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
george brown college,Marketing Management – Digital Media (Postgraduate) (B433),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/marketing-management-digital-media-program-postgraduate-b433?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Marketing Management – Financial Services (Postgraduate) (B406),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/marketing-management-financial-services-program-postgraduate-b406?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Sport and Event Marketing (Postgraduate) (B400),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/sport-and-event-marketing-program-postgraduate-b400?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,Strategic Relationship Marketing (Postgraduate) (B409),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/strategic-relationship-marketing-program-postgraduate-b409?year=2023,Ontario College Graduate Certificate,,6.5,125,60,70,176
george brown college,American Sign Language and Deaf Studies (C114),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/american-sign-language-and-deaf-studies-program-c114?year=2023,Ontario College Certificate,,6,105,54,60,169
george brown college,Honours Bachelor of Interpretation (American Sign Language – English) (C302),https://www.georgebrown.ca/program-finder?year=2023&f[0]=international_students_can_apply:1/programs/honours-bachelor-of-interpretation-american-sign-language-english-program-c302?year=2023,Honours Bachelor's Degree,,6.5,125,60,70,176
